x1,x2,objective
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.342642,0.498218,-0.100000
0.547216,0.138624,-0.000000
0.547216,0.138624,-0.000000
0.547216,0.138624,-0.000000
0.547216,0.138624,-0.000000
0.547216,0.138624,-0.000000
0.547216,0.138624,-0.000000
0.547216,0.138624,-0.000000
0.547216,0.138624,-0.000000
0.547216,0.138624,-0.000000
0.547216,0.138624,-0.000000
0.547216,0.138624,-0.000000
0.149294,0.257508,-0.000000
0.149294,0.257508,-0.000000
0.149294,0.257508,-0.000000
0.149294,0.257508,-0.000000
0.149294,0.257508,-0.000000
0.149294,0.257508,-0.000000
0.149294,0.257508,-0.000000
0.149294,0.257508,-0.000000
0.149294,0.257508,-0.000000
0.149294,0.257508,-0.000000
0.840717,0.254282,-0.000000
0.840717,0.254282,-0.000000
0.840717,0.254282,-0.000000
0.840717,0.254282,-0.000000
0.840717,0.254282,-0.000000
0.840717,0.254282,-0.000000
0.840717,0.254282,-0.000000
0.840717,0.254282,-0.000000
0.840717,0.254282,-0.000000
0.840717,0.254282,-0.000000
0.840717,0.254282,-0.000000
0.814285,0.243525,-0.000000
0.814285,0.243525,-0.000000
0.814285,0.243525,-0.000000
0.814285,0.243525,-0.000000
0.814285,0.243525,-0.000000
0.814285,0.243525,-0.000000
0.814285,0.243525,-0.000000
0.814285,0.243525,-0.000000
0.814285,0.243525,-0.000000
0.814285,0.243525,-0.000000
0.814285,0.243525,-0.000000
0.929264,0.349984,-0.000000
0.929264,0.349984,-0.000000
0.929264,0.349984,-0.000000
0.929264,0.349984,-0.000000
0.929264,0.349984,-0.000000
0.929264,0.349984,-0.000000
0.929264,0.349984,-0.000000
0.929264,0.349984,-0.000000
